year,REGC2022_2,REGC2022_V,count_quakes,ave_mag
2014,Bay of Plenty Region,04,7,4.349857944285715
2014,Canterbury Region,13,6,4.2752364919999994
2014,Gisborne Region,05,4,4.42209402475
2014,Hawke's Bay Region,06,8,4.4719964855
2014,Manawatu-Whanganui Region,08,25,4.4715248046000005
2014,Marlborough Region,18,7,4.136728114428571
2014,Otago Region,14,1,4.044708336
2014,Southland Region,15,14,4.510727296214285
2014,Tasman Region,16,1,4.1969382
2014,Waikato Region,03,3,4.443638941
2014,Wellington Region,09,3,4.2586465
2014,West Coast Region,12,3,4.606892808666667
2014,NA,NA,298,4.4608259130436245
2015,Bay of Plenty Region,04,2,4.1654543375
2015,Canterbury Region,13,9,4.521119003777778
2015,Gisborne Region,05,5,4.3922497806
2015,Hawke's Bay Region,06,3,4.274776073333333
2015,Manawatu-Whanganui Region,08,16,4.4428380769375
2015,Marlborough Region,18,16,4.5023658093125
2015,Nelson Region,17,1,4.019203087
2015,Otago Region,14,6,4.5659720723333335
2015,Southland Region,15,11,4.385362616272728
2015,Taranaki Region,07,3,4.389811580333333
2015,Tasman Region,16,1,4.462830281
2015,Waikato Region,03,3,4.460134161666667
2015,Wellington Region,09,2,4.266105251500001
2015,West Coast Region,12,4,4.23961523775
2015,NA,NA,403,4.474263920811414
2016,Bay of Plenty Region,04,6,4.5110420175
2016,Canterbury Region,13,280,4.502783129107143
2016,Gisborne Region,05,3,4.416514773
2016,Hawke's Bay Region,06,7,4.310498537142857
2016,Manawatu-Whanganui Region,08,7,4.318439504571429
2016,Marlborough Region,18,218,4.487265588866973
2016,Otago Region,14,1,4.337787574
2016,Southland Region,15,17,4.44178896882353
2016,Taranaki Region,07,2,4.592510498999999
2016,Waikato Region,03,5,4.1809984984
2016,Wellington Region,09,8,4.593517650875
2016,West Coast Region,12,3,4.339494699
2016,NA,NA,435,4.479663763891954
2017,Bay of Plenty Region,04,14,4.4443421632857145
2017,Canterbury Region,13,44,4.429156177727273
2017,Gisborne Region,05,3,4.640116232
2017,Hawke's Bay Region,06,5,4.2354397538
2017,Manawatu-Whanganui Region,08,13,4.320560570846154
2017,Marlborough Region,18,33,4.442394865333333
2017,Otago Region,14,1,4.422501148
2017,Southland Region,15,11,4.430855867909091
2017,Taranaki Region,07,4,4.114562342
2017,Tasman Region,16,2,4.2786529535
2017,Waikato Region,03,5,4.4081588148
2017,Wellington Region,09,7,4.440595835142857
2017,West Coast Region,12,4,4.350614576
2017,NA,NA,262,4.435193155973282
