Region,Category,Departing,Entering,netmigration
Auckland,2014,49401,54831,5430
Auckland,2015,52344,65733,13389
Auckland,2016,53199,72780,19581
Auckland,2017,50583,74862,24279
Bay,2014,20613,19689,-924
Bay,2015,23820,22446,-1374
Bay,2016,25836,23298,-2538
Bay,2017,24840,23259,-1581
Canterbury,2014,145224,145152,-72
Canterbury,2015,156963,152829,-4134
Canterbury,2016,159516,154071,-5445
Canterbury,2017,146211,140367,-5844
Gisborne,2014,15687,15756,69
Gisborne,2015,16632,16587,-45
Gisborne,2016,15399,15174,-225
Gisborne,2017,14199,14580,381
Hawke's,2014,91590,92190,600
Hawke's,2015,98364,97335,-1029
Hawke's,2016,100083,97653,-2430
Hawke's,2017,91233,89373,-1860
Manawatū-Whanganui,2014,50490,49314,-1176
Manawatū-Whanganui,2015,53283,51663,-1620
Manawatū-Whanganui,2016,53610,51783,-1827
Manawatū-Whanganui,2017,52011,49593,-2418
Marlborough,2014,3078,2853,-225
Marlborough,2015,3291,3054,-237
Marlborough,2016,3234,3333,99
Marlborough,2017,3285,3096,-189
Nelson,2014,4806,4197,-609
Nelson,2015,4632,4620,-12
Nelson,2016,4518,4524,6
Nelson,2017,4506,4293,-213
Northland,2014,67836,67194,-642
Northland,2015,71793,70929,-864
Northland,2016,73503,71088,-2415
Northland,2017,68220,64593,-3627
Otago,2014,13227,10863,-2364
Otago,2015,14019,11832,-2187
Otago,2016,13716,11871,-1845
Otago,2017,14049,11118,-2931
Southland,2014,22527,22983,456
Southland,2015,23598,24270,672
Southland,2016,22488,22854,366
Southland,2017,21108,22002,894
Taranaki,2014,5577,5544,-33
Taranaki,2015,5808,6267,459
Taranaki,2016,6012,6183,171
Taranaki,2017,6555,6090,-465
Tasman,2014,3999,4029,30
Tasman,2015,4293,4092,-201
Tasman,2016,3987,3879,-108
Tasman,2017,4332,3810,-522
Waikato,2014,171279,171024,-255
Waikato,2015,184494,181812,-2682
Waikato,2016,188415,185739,-2676
Waikato,2017,173247,168843,-4404
Wellington,2014,17856,17376,-480
Wellington,2015,18657,18027,-630
Wellington,2016,19629,18570,-1059
Wellington,2017,20067,18105,-1962
West,2014,7512,7707,195
West,2015,7782,8277,495
West,2016,7791,8136,345
West,2017,7020,7482,462
