agent_number,season,precipitation,period_start,period_end,lat,lon,site,anomaly,reference_period
1056,Spring,326.6,2019-09-01,2019-11-30,-35.183,173.926,Kerikeri,-42.47666666666663,1961-1990
1287,Spring,308.2,2019-09-01,2019-11-30,-35.769,174.364,Whangarei,-11.120000000000005,1961-1990
1400,Spring,210.7,2019-09-01,2019-11-30,-36.606,174.835,Whangaparaoa,-49.110000000000014,1961-1990
15752,Spring,212.4,2019-09-01,2019-11-30,-45.90129,170.5147,Dunedin,58.93000000000001,1961-1990
1615,Spring,225.6,2019-09-01,2019-11-30,-37.673,176.196,Tauranga,-69.21666666666664,1961-1990
1770,Spring,219,2019-09-01,2019-11-30,-38.10595,176.31485,Rotorua,-122.31666666666666,1961-1990
1858,Spring,158,2019-09-01,2019-11-30,-38.74263,176.08104,Taupo,-69.06,1961-1990
1962,Spring,234.4,2019-09-01,2019-11-30,-37.00813,174.78873,Auckland,-21.066666666666663,1961-1990
2112,Spring,224.2,2019-09-01,2019-11-30,-37.86088,175.33175,Hamilton,-76.34000000000003,1961-1990
2250,Spring,350.4,2019-09-01,2019-11-30,-38.88784,175.25981,Taumarunui,3.329999999999984,1961-1990
2283,Spring,371.2,2019-09-01,2019-11-30,-39.0079,174.18382,New Plymouth,17.796666666666624,1961-1990
2534,Spring,197.1,2019-09-01,2019-11-30,-40.21,176.109,Dannevirke,-46.31999999999999,1961-1990
25354,Spring,304.6,2019-09-01,2019-11-30,-41.285,174.768,Wellington,-9.97999999999996,1961-1990
2810,Spring,201,2019-09-01,2019-11-30,-38.6586,177.9851,Gisborne,-6.723333333333329,1961-1990
2997,Spring,193.7,2019-09-01,2019-11-30,-39.49846,176.91189,Napier,39.339999999999975,1961-1990
3629,Spring,273.5,2019-09-01,2019-11-30,-39.46249,175.66283,Waiouru,23.843333333333337,1961-1990
3715,Spring,184.6,2019-09-01,2019-11-30,-39.93704,175.04509,Whanganui,-20.94666666666666,1961-1990
37662,Spring,180.2,2019-09-01,2019-11-30,-40.957,175.707,Masterton,-5.673333333333318,1961-1990
