site,statistic,month,year,agent_number,data_value,lat,lon
Auckland,Average,1,1972,1962,NA,-37.00813,174.78873
Auckland,Average,1,1973,1962,NA,-37.00813,174.78873
Auckland,Average,1,1974,1962,NA,-37.00813,174.78873
Auckland,Average,1,1975,1962,NA,-37.00813,174.78873
Auckland,Average,1,1976,1962,NA,-37.00813,174.78873
Auckland,Average,1,1977,1962,NA,-37.00813,174.78873
Auckland,Average,1,1978,1962,NA,-37.00813,174.78873
Auckland,Average,1,1979,1962,NA,-37.00813,174.78873
Auckland,Average,1,1980,1962,NA,-37.00813,174.78873
Auckland,Average,1,1981,1962,NA,-37.00813,174.78873
Auckland,Average,1,1982,1962,NA,-37.00813,174.78873
Auckland,Average,1,1983,1962,NA,-37.00813,174.78873
Auckland,Average,1,1984,1962,NA,-37.00813,174.78873
Auckland,Average,1,1985,1962,NA,-37.00813,174.78873
Auckland,Average,1,1986,1962,NA,-37.00813,174.78873
Auckland,Average,1,1987,1962,NA,-37.00813,174.78873
Auckland,Average,1,1988,1962,NA,-37.00813,174.78873
Auckland,Average,1,1989,1962,NA,-37.00813,174.78873
Auckland,Average,1,1990,1962,NA,-37.00813,174.78873
Auckland,Average,1,1991,1962,NA,-37.00813,174.78873
Auckland,Average,1,1992,1962,NA,-37.00813,174.78873
Auckland,Average,1,1993,1962,NA,-37.00813,174.78873
Auckland,Average,1,1994,1962,NA,-37.00813,174.78873
Auckland,Average,1,1995,1962,41.2,-37.00813,174.78873
Auckland,Average,1,1996,1962,38.6,-37.00813,174.78873
Auckland,Average,1,1997,1962,44.2,-37.00813,174.78873
Auckland,Average,1,1998,1962,42.6,-37.00813,174.78873
Auckland,Average,1,1999,1962,40.4,-37.00813,174.78873
Auckland,Average,1,2000,1962,38.1,-37.00813,174.78873
Auckland,Average,1,2001,1962,40.6,-37.00813,174.78873
Auckland,Average,1,2002,1962,39.6,-37.00813,174.78873
Auckland,Average,1,2003,1962,42.4,-37.00813,174.78873
Auckland,Average,1,2004,1962,39,-37.00813,174.78873
Auckland,Average,1,2005,1962,38.9,-37.00813,174.78873
Auckland,Average,1,2006,1962,44.7,-37.00813,174.78873
Auckland,Average,1,2007,1962,40.4,-37.00813,174.78873
Auckland,Average,1,2008,1962,38.1,-37.00813,174.78873
Auckland,Average,1,2009,1962,39.9,-37.00813,174.78873
Auckland,Average,1,2010,1962,41.8,-37.00813,174.78873
Auckland,Average,1,2011,1962,42.9,-37.00813,174.78873
Auckland,Average,1,2012,1962,43.8,-37.00813,174.78873
Auckland,Average,1,2013,1962,45.1,-37.00813,174.78873
Auckland,Average,1,2014,1962,47.2,-37.00813,174.78873
Auckland,Average,1,2015,1962,35.6,-37.00813,174.78873
Auckland,Average,1,2016,1962,39.8,-37.00813,174.78873
Auckland,Average,1,2017,1962,47.7,-37.00813,174.78873
Auckland,Average,1,2018,1962,44,-37.00813,174.78873
Auckland,Average,1,2019,1962,41.1,-37.00813,174.78873
Auckland,Average,2,1972,1962,NA,-37.00813,174.78873
Auckland,Average,2,1973,1962,NA,-37.00813,174.78873
Auckland,Average,2,1974,1962,NA,-37.00813,174.78873
Auckland,Average,2,1975,1962,NA,-37.00813,174.78873
Auckland,Average,2,1976,1962,NA,-37.00813,174.78873
Auckland,Average,2,1977,1962,NA,-37.00813,174.78873
Auckland,Average,2,1978,1962,NA,-37.00813,174.78873
Auckland,Average,2,1979,1962,NA,-37.00813,174.78873
Auckland,Average,2,1980,1962,NA,-37.00813,174.78873
Auckland,Average,2,1981,1962,NA,-37.00813,174.78873
Auckland,Average,2,1982,1962,NA,-37.00813,174.78873
Auckland,Average,2,1983,1962,NA,-37.00813,174.78873
Auckland,Average,2,1984,1962,NA,-37.00813,174.78873
Auckland,Average,2,1985,1962,NA,-37.00813,174.78873
Auckland,Average,2,1986,1962,NA,-37.00813,174.78873
Auckland,Average,2,1987,1962,NA,-37.00813,174.78873
Auckland,Average,2,1988,1962,NA,-37.00813,174.78873
Auckland,Average,2,1989,1962,NA,-37.00813,174.78873
Auckland,Average,2,1990,1962,NA,-37.00813,174.78873
Auckland,Average,2,1991,1962,NA,-37.00813,174.78873
Auckland,Average,2,1992,1962,NA,-37.00813,174.78873
Auckland,Average,2,1993,1962,NA,-37.00813,174.78873
Auckland,Average,2,1994,1962,NA,-37.00813,174.78873
Auckland,Average,2,1995,1962,41.1,-37.00813,174.78873
Auckland,Average,2,1996,1962,38.5,-37.00813,174.78873
Auckland,Average,2,1997,1962,36.8,-37.00813,174.78873
Auckland,Average,2,1998,1962,39.2,-37.00813,174.78873
Auckland,Average,2,1999,1962,41,-37.00813,174.78873
Auckland,Average,2,2000,1962,39.5,-37.00813,174.78873
Auckland,Average,2,2001,1962,39.1,-37.00813,174.78873
Auckland,Average,2,2002,1962,40.1,-37.00813,174.78873
Auckland,Average,2,2003,1962,39.4,-37.00813,174.78873
Auckland,Average,2,2004,1962,55,-37.00813,174.78873
Auckland,Average,2,2005,1962,39.3,-37.00813,174.78873
Auckland,Average,2,2006,1962,39.6,-37.00813,174.78873
Auckland,Average,2,2007,1962,37.4,-37.00813,174.78873
Auckland,Average,2,2008,1962,43.2,-37.00813,174.78873
Auckland,Average,2,2009,1962,39.7,-37.00813,174.78873
Auckland,Average,2,2010,1962,38.9,-37.00813,174.78873
Auckland,Average,2,2011,1962,37.2,-37.00813,174.78873
Auckland,Average,2,2012,1962,37.5,-37.00813,174.78873
Auckland,Average,2,2013,1962,37.9,-37.00813,174.78873
Auckland,Average,2,2014,1962,39.8,-37.00813,174.78873
Auckland,Average,2,2015,1962,37.3,-37.00813,174.78873
Auckland,Average,2,2016,1962,39.7,-37.00813,174.78873
Auckland,Average,2,2017,1962,36.3,-37.00813,174.78873
Auckland,Average,2,2018,1962,42.3,-37.00813,174.78873
Auckland,Average,2,2019,1962,39.1,-37.00813,174.78873
Auckland,Average,3,1972,1962,NA,-37.00813,174.78873
Auckland,Average,3,1973,1962,NA,-37.00813,174.78873
Auckland,Average,3,1974,1962,NA,-37.00813,174.78873
Auckland,Average,3,1975,1962,NA,-37.00813,174.78873
Auckland,Average,3,1976,1962,NA,-37.00813,174.78873
Auckland,Average,3,1977,1962,NA,-37.00813,174.78873
Auckland,Average,3,1978,1962,NA,-37.00813,174.78873
Auckland,Average,3,1979,1962,NA,-37.00813,174.78873
Auckland,Average,3,1980,1962,NA,-37.00813,174.78873
Auckland,Average,3,1981,1962,NA,-37.00813,174.78873
Auckland,Average,3,1982,1962,NA,-37.00813,174.78873
Auckland,Average,3,1983,1962,NA,-37.00813,174.78873
Auckland,Average,3,1984,1962,NA,-37.00813,174.78873
Auckland,Average,3,1985,1962,NA,-37.00813,174.78873
Auckland,Average,3,1986,1962,NA,-37.00813,174.78873
Auckland,Average,3,1987,1962,NA,-37.00813,174.78873
Auckland,Average,3,1988,1962,NA,-37.00813,174.78873
Auckland,Average,3,1989,1962,NA,-37.00813,174.78873
Auckland,Average,3,1990,1962,NA,-37.00813,174.78873
Auckland,Average,3,1991,1962,NA,-37.00813,174.78873
Auckland,Average,3,1992,1962,NA,-37.00813,174.78873
Auckland,Average,3,1993,1962,NA,-37.00813,174.78873
Auckland,Average,3,1994,1962,NA,-37.00813,174.78873
Auckland,Average,3,1995,1962,39.7,-37.00813,174.78873
Auckland,Average,3,1996,1962,43.6,-37.00813,174.78873
Auckland,Average,3,1997,1962,40.5,-37.00813,174.78873
Auckland,Average,3,1998,1962,43.4,-37.00813,174.78873
Auckland,Average,3,1999,1962,39.2,-37.00813,174.78873
Auckland,Average,3,2000,1962,37.8,-37.00813,174.78873
Auckland,Average,3,2001,1962,33.5,-37.00813,174.78873
Auckland,Average,3,2002,1962,41,-37.00813,174.78873
Auckland,Average,3,2003,1962,40.2,-37.00813,174.78873
Auckland,Average,3,2004,1962,39.8,-37.00813,174.78873
Auckland,Average,3,2005,1962,37.3,-37.00813,174.78873
Auckland,Average,3,2006,1962,41.1,-37.00813,174.78873
Auckland,Average,3,2007,1962,46.8,-37.00813,174.78873
Auckland,Average,3,2008,1962,38,-37.00813,174.78873
Auckland,Average,3,2009,1962,38.8,-37.00813,174.78873
Auckland,Average,3,2010,1962,44.6,-37.00813,174.78873
Auckland,Average,3,2011,1962,38.8,-37.00813,174.78873
Auckland,Average,3,2012,1962,42.4,-37.00813,174.78873
Auckland,Average,3,2013,1962,37.3,-37.00813,174.78873
Auckland,Average,3,2014,1962,37.5,-37.00813,174.78873
Auckland,Average,3,2015,1962,39.6,-37.00813,174.78873
Auckland,Average,3,2016,1962,38.4,-37.00813,174.78873
Auckland,Average,3,2017,1962,38.1,-37.00813,174.78873
Auckland,Average,3,2018,1962,38,-37.00813,174.78873
Auckland,Average,3,2019,1962,34.6,-37.00813,174.78873
Auckland,Average,4,1972,1962,NA,-37.00813,174.78873
Auckland,Average,4,1973,1962,NA,-37.00813,174.78873
Auckland,Average,4,1974,1962,NA,-37.00813,174.78873
Auckland,Average,4,1975,1962,NA,-37.00813,174.78873
Auckland,Average,4,1976,1962,NA,-37.00813,174.78873
Auckland,Average,4,1977,1962,NA,-37.00813,174.78873
Auckland,Average,4,1978,1962,NA,-37.00813,174.78873
Auckland,Average,4,1979,1962,NA,-37.00813,174.78873
Auckland,Average,4,1980,1962,NA,-37.00813,174.78873
Auckland,Average,4,1981,1962,NA,-37.00813,174.78873
Auckland,Average,4,1982,1962,NA,-37.00813,174.78873
Auckland,Average,4,1983,1962,NA,-37.00813,174.78873
Auckland,Average,4,1984,1962,NA,-37.00813,174.78873
Auckland,Average,4,1985,1962,NA,-37.00813,174.78873
Auckland,Average,4,1986,1962,NA,-37.00813,174.78873
Auckland,Average,4,1987,1962,NA,-37.00813,174.78873
Auckland,Average,4,1988,1962,NA,-37.00813,174.78873
Auckland,Average,4,1989,1962,NA,-37.00813,174.78873
Auckland,Average,4,1990,1962,NA,-37.00813,174.78873
Auckland,Average,4,1991,1962,NA,-37.00813,174.78873
Auckland,Average,4,1992,1962,NA,-37.00813,174.78873
Auckland,Average,4,1993,1962,NA,-37.00813,174.78873
Auckland,Average,4,1994,1962,NA,-37.00813,174.78873
Auckland,Average,4,1995,1962,37.7,-37.00813,174.78873
Auckland,Average,4,1996,1962,40.2,-37.00813,174.78873
Auckland,Average,4,1997,1962,41.9,-37.00813,174.78873
Auckland,Average,4,1998,1962,37,-37.00813,174.78873
Auckland,Average,4,1999,1962,40.2,-37.00813,174.78873
Auckland,Average,4,2000,1962,39.9,-37.00813,174.78873
Auckland,Average,4,2001,1962,37.1,-37.00813,174.78873
Auckland,Average,4,2002,1962,36.2,-37.00813,174.78873
Auckland,Average,4,2003,1962,33.4,-37.00813,174.78873
Auckland,Average,4,2004,1962,38,-37.00813,174.78873
Auckland,Average,4,2005,1962,38.4,-37.00813,174.78873
Auckland,Average,4,2006,1962,40.6,-37.00813,174.78873
Auckland,Average,4,2007,1962,33.7,-37.00813,174.78873
Auckland,Average,4,2008,1962,40.3,-37.00813,174.78873
Auckland,Average,4,2009,1962,41.9,-37.00813,174.78873
Auckland,Average,4,2010,1962,36,-37.00813,174.78873
Auckland,Average,4,2011,1962,38.6,-37.00813,174.78873
Auckland,Average,4,2012,1962,NA,-37.00813,174.78873
Auckland,Average,4,2013,1962,39,-37.00813,174.78873
Auckland,Average,4,2014,1962,39.7,-37.00813,174.78873
Auckland,Average,4,2015,1962,43,-37.00813,174.78873
Auckland,Average,4,2016,1962,32.5,-37.00813,174.78873
Auckland,Average,4,2017,1962,38.9,-37.00813,174.78873
Auckland,Average,4,2018,1962,46.9,-37.00813,174.78873
Auckland,Average,4,2019,1962,35.1,-37.00813,174.78873
Auckland,Average,5,1972,1962,NA,-37.00813,174.78873
Auckland,Average,5,1973,1962,NA,-37.00813,174.78873
Auckland,Average,5,1974,1962,NA,-37.00813,174.78873
Auckland,Average,5,1975,1962,NA,-37.00813,174.78873
Auckland,Average,5,1976,1962,NA,-37.00813,174.78873
Auckland,Average,5,1977,1962,NA,-37.00813,174.78873
Auckland,Average,5,1978,1962,NA,-37.00813,174.78873
Auckland,Average,5,1979,1962,NA,-37.00813,174.78873
Auckland,Average,5,1980,1962,NA,-37.00813,174.78873
Auckland,Average,5,1981,1962,NA,-37.00813,174.78873
Auckland,Average,5,1982,1962,NA,-37.00813,174.78873
Auckland,Average,5,1983,1962,NA,-37.00813,174.78873
Auckland,Average,5,1984,1962,NA,-37.00813,174.78873
Auckland,Average,5,1985,1962,NA,-37.00813,174.78873
Auckland,Average,5,1986,1962,NA,-37.00813,174.78873
Auckland,Average,5,1987,1962,NA,-37.00813,174.78873
Auckland,Average,5,1988,1962,NA,-37.00813,174.78873
Auckland,Average,5,1989,1962,NA,-37.00813,174.78873
Auckland,Average,5,1990,1962,NA,-37.00813,174.78873
Auckland,Average,5,1991,1962,NA,-37.00813,174.78873
Auckland,Average,5,1992,1962,NA,-37.00813,174.78873
Auckland,Average,5,1993,1962,NA,-37.00813,174.78873
Auckland,Average,5,1994,1962,NA,-37.00813,174.78873
Auckland,Average,5,1995,1962,41,-37.00813,174.78873
Auckland,Average,5,1996,1962,46.1,-37.00813,174.78873
Auckland,Average,5,1997,1962,35,-37.00813,174.78873
Auckland,Average,5,1998,1962,44.6,-37.00813,174.78873
Auckland,Average,5,1999,1962,35.3,-37.00813,174.78873
Auckland,Average,5,2000,1962,39.4,-37.00813,174.78873
Auckland,Average,5,2001,1962,47.4,-37.00813,174.78873
Auckland,Average,5,2002,1962,49.3,-37.00813,174.78873
Auckland,Average,5,2003,1962,38.3,-37.00813,174.78873
Auckland,Average,5,2004,1962,39.7,-37.00813,174.78873
Auckland,Average,5,2005,1962,39.7,-37.00813,174.78873
