Year,Region,Average_Precipitation,Average_Temperature,Average_Windspeed
2014,Auckland,1017.9,15.658333333333331,47.24166666666667
2014,Bay of Plenty,1098.8,14.1125,39.75833333333333
2014,Canterbury,575.2333333333333,10.300925925925926,40.02777777777778
2014,Gisborne,1096,14.669444444444444,38.11666666666667
2014,Hawke's Bay,625.2,14.683333333333335,42.31666666666667
2014,Manawatū-Whanganui,953.3,12.378472222222221,40.27859848484849
2014,Marlborough,591.8,12.799999999999999,40.875
2014,Nelson,861.4,13.258333333333335,37.608333333333334
2014,Northland,1744.8,15.858333333333334,39.0375
2014,Otago,636.8,10.333333333333332,41.425
2014,Southland,3065.6,10.485185185185186,44.461666666666666
2014,Taranaki,1238.6,13.647222222222222,47.30833333333334
2014,Waikato,835.0999999999999,12.912500000000001,39.34166666666667
2014,Wellington,999.85,13.44027777777778,44.075
2014,West Coast,2162.65,12.105555555555554,30.983333333333334
2015,Auckland,942.6500000000001,15.870833333333332,44.1625
2015,Bay of Plenty,953.8000000000001,13.973611111111111,38.0625
2015,Canterbury,448.6333333333333,10.463888888888889,41.75833333333333
2015,Gisborne,1143.1,14.269444444444444,37.266666666666666
2015,Hawke's Bay,621.7,14.469444444444445,41.65
2015,Manawatū-Whanganui,1067.2,12.325,38.8375
2015,Marlborough,495.8,12.666666666666666,40.57272727272727
2015,Nelson,650,13.274999999999999,37.53333333333333
2015,Northland,1045.1,15.904166666666665,36.78333333333333
2015,Otago,599.9,10.40925925925926,43.35277777777778
2015,Southland,3064.0666666666666,10.318518518518518,45.03636363636363
2015,Taranaki,1342,13.66111111111111,46.5
2015,Waikato,954.9,12.929166666666667,37.4375
2015,Wellington,860.65,13.258333333333333,43.950833333333335
2015,West Coast,2404.25,12.091666666666667,30.393181818181816
2016,Auckland,1164.6999999999998,16.444444444444443,46.270833333333336
2016,Bay of Plenty,1287.65,14.715277777777779,38.9875
2016,Canterbury,560.5666666666667,11.027777777777779,38.95
2016,Gisborne,1309.1,15.319444444444445,36.666666666666664
2016,Hawke's Bay,654.6,15.549999999999999,41.15
2016,Manawatū-Whanganui,1087.15,13.324305555555554,38.85882575757576
2016,Marlborough,731.8,13.288888888888888,38.42
2016,Nelson,1249.7,13.774999999999999,35.872727272727275
2016,Northland,1378.4,16.681944444444447,37.525757575757574
2016,Otago,656.8666666666667,11.005555555555556,40.35039682539683
2016,Southland,3731.3999999999996,10.901851851851852,42.56527777777778
2016,Taranaki,1102.8,14.633333333333333,47.40833333333333
2016,Waikato,971.3,13.7375,38.204166666666666
2016,Wellington,995,14.156944444444445,42.30416666666667
2016,West Coast,2731,12.518055555555556,30.65
2017,Auckland,1306.3000000000002,16.261111111111113,43.8125
2017,Bay of Plenty,1848.3,14.45,37.74166666666667
2017,Canterbury,657.5666666666666,10.574074074074074,37.394444444444446
2017,Gisborne,1179.2,15.013888888888888,35.65
2017,Hawke's Bay,826,15.038888888888886,39.141666666666666
2017,Manawatū-Whanganui,1215.7,12.74861111111111,36.467651515151516
2017,Marlborough,640.6,13.005555555555556,37.518181818181816
2017,Nelson,1018.8,13.688888888888888,35.02727272727273
2017,Northland,1502.25,16.255555555555556,37.09583333333333
2017,Otago,641.5333333333333,10.665740740740741,37.75
2017,Southland,2449.9666666666667,10.678703703703704,40.62444444444444
2017,Taranaki,1298,14.147222222222222,44.85
2017,Waikato,1470.5,13.330555555555556,36.47083333333333
2017,Wellington,1103.6,13.587499999999999,40.5
2017,West Coast,2244.8,12.390277777777778,28.266666666666666
